# Job running on    1 total cores
# File reading...  : WAVECAR                                                                    
# TOTAL RECORD LENGTH =    370576
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    440.0000
# NKPOINT          :     80
#  K-GRID          :      1   X   1
# NBANDS           :    336
# RECIVEC B1 (A^-1):      0.768801     0.000000     0.177393
# RECIVEC B2       :      0.000000     0.747589     0.000000
# RECIVEC B3       :      0.000000     0.000000     0.391481
#  dk^2 = |dk1xk2| =      0.589848
  
# OPTICAL SELECTIVITY BETWEEN BANDS:  238    -   243
# n(k,w_cv)= |P(k,s,cv,+)|^2 - |P(k,s,cv,-)|^2
#            ---------------------------------
#            |P(k,s,cv,+)|^2 + |P(k,s,cv,-)|^2
#  The TRANSITION MATRIX ELEMENT P =
#   P(k,s,cv,+ or -) = 1/sqrt(2)[p_x(k,cv,s) +(or -) i*p_y(k,cv,s)]
#  THE INTERBAND TRANSITION MATRIX p_x,y =
#   p_x,y(k,cv,s)=<psi(k,c,s)|-i*hbar*1/dx(y)|psi(k,v,s>
# MAXVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.342105        0.000000        0.000000        0.985713
# MINVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.500000        0.157895        0.000000       -0.338830
# (cart) kx        ky        kz(A^-1)   selectivity(n(k)),        (recip)kx        ky        kz
   1.072275   0.000000   0.247416        0.836232               1.394737   0.000000   0.000000
   1.072275  -0.373794   0.247416        0.529220               1.394737  -0.500000   0.000000
   1.072275  -0.747589   0.247416        0.836232               1.394737  -1.000000   0.000000
   1.052043   1.121383   0.242748        0.412505               1.368421   1.500000   0.000000
   1.052043   0.747589   0.242748        0.920539               1.368421   1.000000   0.000000
   1.052043   0.373794   0.242748        0.412505               1.368421   0.500000   0.000000
   1.052043   0.000000   0.242748        0.920539               1.368421   0.000000   0.000000
   1.052043  -0.373794   0.242748        0.412505               1.368421  -0.500000   0.000000
   1.052043  -0.747589   0.242748        0.920539               1.368421  -1.000000   0.000000
   1.031811   1.121383   0.238080        0.370813               1.342105   1.500000   0.000000
   1.031811   0.747589   0.238080        0.985713               1.342105   1.000000   0.000000
   1.031811   0.373794   0.238080        0.370813               1.342105   0.500000   0.000000
   1.031811   0.000000   0.238080        0.985713               1.342105   0.000000   0.000000
   1.031811  -0.373794   0.238080        0.370813               1.342105  -0.500000   0.000000
   1.031811  -0.747589   0.238080        0.985713               1.342105  -1.000000   0.000000
   1.011580   1.121383   0.233411        0.361899               1.315789   1.500000   0.000000
   1.011580   0.747589   0.233411        0.985079               1.315789   1.000000   0.000000
   1.011580   0.373794   0.233411        0.361899               1.315789   0.500000   0.000000
   1.011580   0.000000   0.233411        0.985079               1.315789   0.000000   0.000000
   1.011580  -0.373794   0.233411        0.361899               1.315789  -0.500000   0.000000
   1.011580  -0.747589   0.233411        0.985079               1.315789  -1.000000   0.000000
   0.991348   1.121383   0.228743        0.361979               1.289474   1.500000   0.000000
   0.991348   0.747589   0.228743        0.795749               1.289474   1.000000   0.000000
   0.991348   0.373794   0.228743        0.361979               1.289474   0.500000   0.000000
   0.991348   0.000000   0.228743        0.795749               1.289474   0.000000   0.000000
   0.991348  -0.373794   0.228743        0.361979               1.289474  -0.500000   0.000000
   0.991348  -0.747589   0.228743        0.795749               1.289474  -1.000000   0.000000
   0.971117   1.121383   0.224075        0.360122               1.263158   1.500000   0.000000
   0.971117   0.373794   0.224075        0.360122               1.263158   0.500000   0.000000
   0.971117  -0.373794   0.224075        0.360122               1.263158  -0.500000   0.000000
   0.971117   0.747589   0.224075        0.664450               1.263158   1.000000   0.000000
   0.971117   0.000000   0.224075        0.664450               1.263158   0.000000   0.000000
   0.971117  -0.747589   0.224075        0.664450               1.263158  -1.000000   0.000000
   0.950885   1.121383   0.219407        0.352353               1.236842   1.500000   0.000000
   0.950885   0.747589   0.219407        0.593456               1.236842   1.000000   0.000000
   0.950885   0.373794   0.219407        0.352353               1.236842   0.500000   0.000000
   0.950885   0.000000   0.219407        0.593456               1.236842   0.000000   0.000000
   0.950885  -0.373794   0.219407        0.352353               1.236842  -0.500000   0.000000
   0.950885  -0.747589   0.219407        0.593456               1.236842  -1.000000   0.000000
   0.930653   1.121383   0.214738        0.336959               1.210526   1.500000   0.000000
   0.930653   0.747589   0.214738        0.551545               1.210526   1.000000   0.000000
   0.930653   0.373794   0.214738        0.336959               1.210526   0.500000   0.000000
